frase,polaridad
"me encanta este película, es increíble",1
"me gusta este libro, es bueno",1
"me encanta este lugar, es excelente",1
"me gusta este libro, es bueno",1
"odio este libro, es malo",0
"odio este producto, es horrible",0
"odio este lugar, es horrible",0
"odio este libro, es terrible",0
"me gusta este lugar, es bueno",1
"me gusta este libro, es bueno",1
"me encanta este restaurante, es excelente",1
"odio este libro, es terrible",0
"odio este restaurante, es terrible",0
"no me gusta este lugar, es terrible",0
"me maravilla este producto, es excelente",1
"me disgusta este restaurante, es malo",0
"me gusta este producto, es excelente",1
"odio este libro, es horrible",0
"no me gusta este libro, es terrible",0
"me maravilla este película, es increíble",1
"me maravilla este lugar, es increíble",1
"no me gusta este película, es malo",0
"no me gusta este lugar, es malo",0
"me disgusta este producto, es terrible",0
"me encanta este restaurante, es bueno",1
"me encanta este restaurante, es bueno",1
"me disgusta este restaurante, es malo",0
"me disgusta este película, es malo",0
"me disgusta este producto, es terrible",0
"odio este libro, es terrible",0
"odio este producto, es terrible",0
"me encanta este libro, es excelente",1
"odio este producto, es malo",0
"me gusta este libro, es excelente",1
"me maravilla este producto, es bueno",1
"me maravilla este lugar, es increíble",1
"me disgusta este producto, es horrible",0
"me disgusta este película, es horrible",0
"me disgusta este lugar, es horrible",0
"no me gusta este lugar, es malo",0
"me encanta este producto, es increíble",1
"me encanta este restaurante, es increíble",1
"me encanta este película, es bueno",1
"no me gusta este película, es malo",0
"me encanta este película, es excelente",1
"me encanta este película, es increíble",1
"me maravilla este producto, es increíble",1
"no me gusta este lugar, es horrible",0
"me encanta este lugar, es bueno",1
"no me gusta este producto, es terrible",0
"me encanta este producto, es excelente",1
"me maravilla este lugar, es excelente",1
"no me gusta este libro, es horrible",0
"odio este restaurante, es horrible",0
"me encanta este película, es excelente",1
"no me gusta este producto, es malo",0
"me maravilla este lugar, es bueno",1
"me disgusta este libro, es horrible",0
"me disgusta este producto, es terrible",0
"me encanta este película, es increíble",1
"me maravilla este libro, es bueno",1
"me encanta este libro, es excelente",1
"odio este película, es terrible",0
"no me gusta este lugar, es horrible",0
"me gusta este producto, es increíble",1
"me encanta este película, es bueno",1
"me gusta este producto, es excelente",1
"me disgusta este producto, es malo",0
"me disgusta este restaurante, es horrible",0
"odio este restaurante, es horrible",0
"me maravilla este restaurante, es excelente",1
"me disgusta este producto, es malo",0
"me gusta este lugar, es excelente",1
"me maravilla este libro, es increíble",1
"odio este película, es horrible",0
"me gusta este restaurante, es increíble",1
"me maravilla este producto, es excelente",1
"me maravilla este restaurante, es bueno",1
"me gusta este película, es excelente",1
"odio este libro, es malo",0
"me encanta este película, es increíble",1
"odio este lugar, es malo",0
"me encanta este restaurante, es increíble",1
"me disgusta este libro, es horrible",0
"me encanta este restaurante, es increíble",1
"odio este libro, es malo",0
"me disgusta este película, es terrible",0
"me gusta este película, es increíble",1
"me gusta este lugar, es increíble",1
"me gusta este producto, es excelente",1
"me gusta este libro, es increíble",1
"me gusta este producto, es excelente",1
"me encanta este producto, es bueno",1
"no me gusta este película, es malo",0
"me encanta este película, es increíble",1
"me encanta este película, es increíble",1
"no me gusta este lugar, es terrible",0
"no me gusta este restaurante, es malo",0
"odio este película, es horrible",0
"me maravilla este película, es increíble",1
"me maravilla este producto, es bueno",1
"odio este restaurante, es horrible",0
"me encanta este libro, es increíble",1
"me encanta este lugar, es increíble",1
"no me gusta este película, es malo",0
"me encanta este lugar, es bueno",1
"no me gusta este lugar, es terrible",0
"odio este restaurante, es horrible",0
"no me gusta este película, es horrible",0
"me disgusta este película, es horrible",0
"odio este producto, es terrible",0
"me gusta este producto, es bueno",1
"me disgusta este restaurante, es horrible",0
"me maravilla este restaurante, es increíble",1
"me disgusta este restaurante, es malo",0
"me disgusta este libro, es malo",0
"me disgusta este libro, es terrible",0
"me gusta este película, es increíble",1
"me encanta este libro, es bueno",1
"me maravilla este película, es bueno",1
"me encanta este restaurante, es excelente",1
"no me gusta este libro, es terrible",0
"me maravilla este lugar, es increíble",1
"me encanta este producto, es excelente",1
"me disgusta este libro, es terrible",0
"odio este restaurante, es malo",0
"me gusta este restaurante, es bueno",1
"me maravilla este producto, es bueno",1
"no me gusta este restaurante, es horrible",0
"me disgusta este película, es horrible",0
"odio este película, es malo",0
"me disgusta este película, es horrible",0
"me disgusta este libro, es terrible",0
"me encanta este producto, es bueno",1
"odio este restaurante, es malo",0
"me maravilla este lugar, es excelente",1
"me disgusta este película, es malo",0
"odio este producto, es terrible",0
"me disgusta este lugar, es malo",0
"no me gusta este lugar, es horrible",0
"me disgusta este lugar, es malo",0
"odio este libro, es malo",0
"me gusta este libro, es increíble",1
"no me gusta este restaurante, es horrible",0
"me maravilla este libro, es increíble",1
"no me gusta este restaurante, es malo",0
"odio este restaurante, es terrible",0
"me encanta este lugar, es bueno",1
"odio este película, es horrible",0
