frase,polaridad
" fascina este preguntas, es excelente",1
"indigna este peticiones, es ineficiente",0
"molesto este preguntas, es incompleto",0
" cautiva este preguntas, es excelente",1
" complace este reclamos, es eficiente",1
" satisface este peticiones, es excelente",1
" complace este peticiones, es maravilloso",1
"terrible este quejas, es malo",0
"horroroso este reclamos, es horrible",0
" encanta este preguntas, es gracias",1
"gusta este preguntas, es genial",1
"gustaria este reclamos, es agradable",1
"encantaria este reclamos, es estupendo",1
"gusta este reclamos, es eficiente",1
"indigna este preguntas, es insatisfecho",0
"agrada este reclamos, es rapido",1
"indigna este quejas, es descontento",0
"horrible este peticiones, es decepcion",0
"horroroso este preguntas, es dificultades",0
"molesto este reclamos, es decepcion",0
"disgustaria este peticiones, es poco",0
"terrible este peticiones, es dificultades",0
"fascinaria este quejas, es fantastico",1
"agrada este reclamos, es asombroso",1
" satisface este reclamos, es maravilloso",1
"disgusta este preguntas, es incompleto",0
"terrible este reclamos, es desagrada",0
"disgustaria este preguntas, es descontento",0
" complace este preguntas, es asombroso",1
" satisface este preguntas, es satisfecho",1
"molesto este reclamos, es terrible",0
" sirve este reclamos, es bueno",1
" sirve este preguntas, es contento",1
"horroroso este preguntas, es fallos",0
"horroroso este quejas, es terrible",0
"gusta este preguntas, es contento",1
" fascina este peticiones, es fantastico",1
"disgustaria este quejas, es despreciable",0
" complace este preguntas, es eficiente",1
"horroroso este preguntas, es lamentable",0
" complace este preguntas, es contento",1
" complace este reclamos, es bueno",1
"horroroso este preguntas, es decepcion",0
"disgustaria este peticiones, es despreciable",0
"agradaria este peticiones, es eficiente",1
"indigna este quejas, es despreciable",0
" fascina este peticiones, es bueno",1
" sirve este preguntas, es maravilla",1
"fascinaria este quejas, es favor",1
"odio este peticiones, es ignorado",0
"terrible este reclamos, es ignorado",0
" encanta este reclamos, es genial",1
" encanta este reclamos, es genial",1
"horrible este preguntas, es poco",0
"molesto este preguntas, es ignorado",0
" encanta este reclamos, es rapido",1
"odio este quejas, es problemas",0
"horrible este peticiones, es malo",0
"gusta este reclamos, es excelente",1
" fascina este reclamos, es eficiente",1
"terrible este quejas, es incompleto",0
" satisface este quejas, es rapido",1
"desastroso este reclamos, es frustante",0
"disgustaria este reclamos, es grosero",0
"disgusta este peticiones, es incompleto",0
"disgustaria este preguntas, es descontento",0
"terrible este quejas, es frustante",0
